companyName,contactPerson,mobile,email,country,state,notes
Khanna Paper Mills Ltd,Gurpreet Singh,+91-183-2591700,purchase@khannapaper.com,India,Punjab,Agro-biomass boiler steam user. PITCH: Offer 10 MT trial batch of mustard/paddy straw briquettes with GCV >3800 Kcal/kg.
Kuantum Papers Ltd,Sanjeev Goyal,+91-1884-241555,rawmaterials@kuantumpapers.com,India,Punjab,450 TPD paper mill with massive biomass boiler demand. PITCH: Send 50kg lab sample for moisture (<8%) & ash testing.
Piramal Pharma Ltd (Digwal Plant),Venkat Reddy,+91-8455-226000,procurement.digwal@piramal.com,India,Telangana,Converted coal boilers to biomass fuel. PITCH: Immediate dispatch of groundnut shell & sawdust briquettes for trial steam test.
Vardhman Textiles Ltd (Auro Textiles),Naresh Sharma,+91-1795-244041,purchase.auro@vardhman.com,India,Himachal Pradesh,Large textile dyeing boiler steam consumer. PITCH: Quote 1 truckload trial batch of low-ash high-density biomass pellets.
Nahar Spinning Mills Ltd,Rajeev Sood,+91-161-2672590,purchase@owmnahar.com,India,Punjab,Textile process boiler running on agro-biomass. PITCH: Offer commercial trial rates + sample GCV certificate.
Orient Paper & Industries Ltd,S. K. Tiwari,+91-7652-286200,procure.amlai@orientpaperindia.com,India,Madhya Pradesh,Large paper mill co-gen boiler. PITCH: Rice husk & wood chip pellet trial supply with guaranteed monthly tonnage.
Trident Group (Budhni Complex),Alok Verma,+91-7564-245000,biomass.purchase@tridentindia.com,India,Madhya Pradesh,World's largest integrated textile/paper unit. PITCH: Bulk contract trial shipment for multi-fuel steam boilers.
Shree Ajit Pulp and Paper Ltd,Nitin Patel,+91-260-2437086,purchase@shreeajit.com,India,Gujarat,Continuous industrial boiler steam consumer. PITCH: Supply trial quote for high-density groundnut/bagasse briquettes.
Century Pulp and Paper,Deepak Joshi,+91-5945-268010,century.procurement@adityabirla.com,India,Uttarakhand,Aditya Birla Group unit with heavy boiler fuel demand. PITCH: Lab sample testing for calorific value & sulfur compliance.
Balkrishna Industries Ltd (BKT Tyres),Ketan Mehta,+91-2832-280000,utility.bhuj@bkt-tires.com,India,Gujarat,Tyre curing process boilers using biomass. PITCH: Send trial shipment of mustard husk pellets for process steam boilers.
Grasim Industries Ltd (Chemicals),Sanjay Desai,+91-2641-273000,purchase.vilayat@adityabirla.com,India,Gujarat,Captive power & boiler operations. PITCH: Trial truckload supply of non-polluting biomass pellets.
Arvind Limited (Santej Plant),Jatin Shah,+91-2717-699000,energy.sourcing@arvind.in,India,Gujarat,Denim process boilers under green energy mandate. PITCH: Trial batch of low-emission agro-residue pellets.
Jindal Stainless Ltd (Jajpur Unit),Bikash Mohanty,+91-6726-266000,purchase.jajpur@jindalstainless.com,India,Odisha,Auxiliary boiler biomass co-firing cell. PITCH: Co-firing biomass pellet sample for ash fusion temperature test.
Sudarshan Chemical Industries Ltd,Prashant Kulkarni,+91-2194-263500,procurement@sudarshan.com,India,Maharashtra,Chemical & pigment drying boilers. PITCH: 25 MT trial supply of premium low-moisture briquettes.
Indo Count Industries Ltd,Sachin Shinde,+91-230-2483105,purchase.kpr@indocount.com,India,Maharashtra,Home textile finishing boilers. PITCH: Immediate dispatch of agro-pellet samples with lab GCV report.
NTPC Dadri (Biomass Co-firing Desk),R. K. Mishra,+91-120-2671000,biomass.dadri@ntpc.co.in,India,Uttar Pradesh,National thermal power co-firing mandate buyer. PITCH: SAMARTH mission compliance trial tender sample.
Shree Renuka Sugars Ltd,M. S. Patil,+91-8334-277000,procurement.munoli@renukasugars.com,India,Karnataka,Distillery co-gen boiler unit. PITCH: Bagasse & biomass fuel bridging stock trial supply.
DCM Shriram Ltd (Ajbapur Unit),Vinay Pratap,+91-5872-258000,purchase.ajbapur@dcmshriram.com,India,Uttar Pradesh,Multi-fuel boiler operations. PITCH: Trial supply of mustard & sawdust briquettes for steam generation.
Seshasayee Paper and Boards Ltd,K. Sundaram,+91-4288-240221,purchase@spbltd.com,India,Tamil Nadu,Large paper mill boiler unit. PITCH: Biomass pellet fuel sample for steam generation cost reduction.
Som Distilleries & Breweries Ltd,Rahul Chouhan,+91-7480-256000,purchase@somindia.com,India,Madhya Pradesh,Steam boiler fuel buyer. PITCH: Trial supply of high-GCV biomass briquettes for boiler house.
Baidyanath Biofuels Pvt Ltd,Anup Sharma,+91-712-2746000,procurement@baidyanathbiofuel.com,India,Maharashtra,250 KLPD grain-based ethanol distillery. PITCH: Bulk yellow maize supply with <14% moisture for starch yield trial.
Grainspan Nutrients Pvt Ltd,Tejas Patel,+91-79-40203000,rawmaterial@grainspan.com,India,Gujarat,Large grain processing & ethanol plant. PITCH: Bulk maize rake delivery; send 10 kg physical sample for lab assay.
