companyName,contactPerson,mobile,email,country,state,notes
Gattuwala,Gaurav Gattani (Director),+91-7304040777,info@gattuwala.com,India,Maharashtra,Akola MIDC Factory. Biomass pellets & briquettes manufacturer. CALL: Inquire about raw agricultural residue purchase or pellet sales tie-up.
Shree Balkrushna Bioenergy,Balkrushna Patel (Plant Head),+91-9898515544,shreebalkrushna@gmail.com,India,Gujarat,Jamnagar Industrial Plant (100 TPH). Large-scale agro-biomass briquette plant. CALL: Offer bulk feedstock or pitch trial order.
Sanjay Bio Fuel,Sanjay Bhai (Proprietor),+91-9001044009,sanjaybiofuel@gmail.com,India,Gujarat,GIDC Jamnagar Unit (100 TPH). Agro-waste & groundnut shell briquettes. CALL: Request meeting for sample testing & monthly quota.
Jaipur Green Fuels Pvt Ltd,Anil Sharma (Director),+91-9309068028,jaipurgreenfuels@gmail.com,India,Gujarat,Surat GIDC Factory (100 TPH). Biomass briquette & pellet plant. CALL: Ask for Purchase Manager regarding bulk feedstock contract.
Green Arc Natural Fuel,Rakesh Gangwar (Commercial Head),+91-9355104222,info@greenarcnaturalfuel.com,India,Uttar Pradesh,Bareilly Industrial Zone. Biomass briquettes & industrial fuel supplier. CALL: Connect with purchase desk for sample dispatch.
Maharashtra Biomass,Nitin Patil (Plant Manager),+91-8446655945,maharashtrabiomass@gmail.com,India,Maharashtra,Ambad MIDC Nashik Factory. Biomass pelletizing plant. CALL: Pitch direct raw material supply or request boiler trial quota.
Katariya Agro Pvt Ltd,Sandeep Katariya (Director),+91-9881122322,katariyaagro@gmail.com,India,Maharashtra,Butibori MIDC Nagpur. SAMARTH registered biomass pellet plant. CALL: Speak with Plant Head regarding trial order tender.
Vidhyut Power & Systems,V. S. Rao (Utility Purchase),+91-9967457782,info@rkwindmast.com,India,Maharashtra,Wagle Estate Thane Factory (Landline: 022-25422238). Biomass briquette & pellet unit. CALL: Inquire about trial supply pricing.
Alfa Beta Biomass Solution,Mukesh Choudhary (Proprietor),+91-8045800693,alfabetabiomass@gmail.com,India,Rajasthan,VKIA Jaipur Factory. Biomass briquettes manufacturing unit. CALL: Ask for purchase department for immediate sample requirement.
Gaumata Fuels,Satish Agarwal (Plant Lead),+91-7942960676,gaumatafuels@gmail.com,India,Rajasthan,Sitapura Industrial Area Jaipur. Biomass fuel plant. CALL: Pitch high-calorific feedstock or ask for sample evaluation.
Satyam Bio Fuels,Umang Bhimani (Owner),+91-9825123456,info@satyambiofuels.co.in,India,Gujarat,Navsari Industrial Estate. Biomass briquette supplier. CALL: Ask for Umang Bhimani to discuss trial order delivery.
